SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,Grass,LightLAIShape,LightLAIScale,LightLAILocation,LightLAIAdjust
AbieAmab,2,FALSE,250,3000,-10,0.4,7,FALSE,0.25,0.22,0.28,0.28,80,45,333,220,70,150,50000,FALSE,1.924257965,15.95261092,0,14.1
AbieGran,3,FALSE,300,4000,-10,0.7,7,FALSE,0.25,0.22,0.28,0.3,80,45,333,220,70,175,31000,FALSE,1.191992916,12.58662226,0,7.35
AbieLasi,1,FALSE,250,2000,-15,0.6,8,FALSE,0.25,0.22,0.3,0.35,42,27,400,100,70,150,19000,FALSE,0.61140586,2.361403163,0,13.25
AbieProc,2,FALSE,300,4000,-10,0.5,5,FALSE,0.25,0.22,0.28,0.32,50,26,400,220,70,175,29000,FALSE,1.259216189,15.2278163,0.003137873,5
AcerMacr,4,FALSE,500,4000,-7,0.6,1,FALSE,0.2,0.22,0.28,0.28,24,30,400,100,60,175,25000,FALSE,1.604194175,13.35953242,0,5
AlnuRubr,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,23000,FALSE,1.005625983,21.03655899,0,5
BetuOcci,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,7000,FALSE,1,0.299048729,0.00555099,5
BetuPapy,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,13000,FALSE,0.802033932,0.474360725,0,5
ChamNoot,2,FALSE,250,3000,-17,0.4,9,FALSE,0.3,0.22,0.25,0.25,48,30,245,220,60,100,23000,FALSE,1.681428436,8.466286951,0,14.1
CornNutt,4,FALSE,500,4000,-10,0.7,1,TRUE,0.18,0.15,0.28,0.32,22,25,200,100,30,75,7000,FALSE,2.120583135,17.52991827,0,7.35
FraxLati,5,FALSE,700,3500,-5,0.7,1,TRUE,0.18,0.22,0.28,0.28,30,35,340,220,40,100,19000,FALSE,1.638537094,4.58216951,0,5
JuniOcci,3,FALSE,500,5500,-12,0.9,6,FALSE,0.25,0.22,0.3,0.28,35,35,340,200,70,85,6000,FALSE,0.622765048,0.701366775,0,5
JuniScop,3,FALSE,500,5500,-12,0.9,6,FALSE,0.25,0.22,0.3,0.28,35,35,340,200,70,85,6000,FALSE,1,0.297240391,0.001280559,5
LariLyal,1,FALSE,200,1500,-20,0.7,1,TRUE,0.3,0.22,0.25,0.2,22,26,600,100,70,150,11000,FALSE,0.822274275,0.834740721,0,5
LariOcci,3,FALSE,400,3000,-10,0.8,1,TRUE,0.3,0.22,0.25,0.2,22,26,600,100,70,200,23000,FALSE,0.398794956,0.616673028,0.006215928,5
PiceEnge,1,FALSE,250,2200,-15,0.6,7,TRUE,0.15,0.26,0.29,0.35,50,39,400,200,70,150,28000,FALSE,0.448507125,3.646309985,0,14.1
PinuAlbi,1,FALSE,200,2000,-20,0.6,8,FALSE,0.3,0.22,0.3,0.25,60,40,300,222,90,150,14000,FALSE,0.813519615,0.190052104,0.040086638,5
PinuCont,1,FALSE,250,3000,-18,0.7,5,FALSE,0.25,0.3,0.3,0.3,55,40,450,220,90,150,24000,FALSE,0.536854449,0.264670672,0.027883836,5
PinuMont,2,FALSE,300,4000,-16,0.7,6,FALSE,0.25,0.22,0.28,0.28,40,35,450,220,90,150,13000,FALSE,1.298167434,8.327042639,0,5
PinuPond,3,FALSE,250,5500,-8,0.95,5,FALSE,0.25,0.22,0.28,0.3,50,48,400,220,70,200,30000,FALSE,1,3.831219935,0,2.75
PopuBals,5,TRUE,500,5500,-7,0.4,1,TRUE,0.2,0.15,0.28,0.32,22,25,200,100,30,85,24000,FALSE,1.71681641,0.175264887,0.101412081,5
PopuTrem,4,TRUE,300,3500,-15,0.8,1,TRUE,0.2,0.22,0.2,0.25,25,62,200,100,70,75,19000,FALSE,0.633103168,0.4036727,0.003076994,5
PrunEmar,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,20,25,200,100,30,75,6000,FALSE,1.306106424,6.85046749,0,5
PseuMenz,2,FALSE,300,4500,-8,0.85,8,TRUE,0.25,0.3,0.28,0.3,45,45,200,100,80,200,50000,FALSE,0.179297928,1000,0.035768243,2.75
QuerGarr,5,FALSE,700,5000,-4,0.95,1,TRUE,0.2,0.22,0.25,0.28,30,40,350,100,50,100,14000,FALSE,0.562991086,7.457161215,0.006312053,5
TaxuBrev,2,FALSE,400,2500,-4,0.5,4,TRUE,0.3,0.22,0.25,0.25,37,37,500,220,90,100,6000,FALSE,1.743043238,19.04655052,0,7.35
ThujPlic,2,FALSE,250,3000,-11,0.6,6,FALSE,0.3,0.21,0.28,0.32,56,29,400,220,90,200,50000,FALSE,1.513482195,15.57428079,0,14.1
TsugHete,2,FALSE,250,3000,-12,0.5,5,FALSE,0.2,0.22,0.28,0.32,45,50,400,220,90,175,50000,FALSE,1.787702637,20.45519546,0,13.25
TsugMert,1,FALSE,200,2500,-18,0.82,5,TRUE,0.25,0.2,0.25,0.25,80,80,333,220,90,125,31000,FALSE,1.650428425,9.031567953,0,14.1
NonFxr_Resprt,6,FALSE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000,FALSE,0.9,1.2,0.25,5
NonFxr_Seed,6,FALSE,200,4500,-10,0.95,2,FALSE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000,FALSE,0.9,1.2,0.25,5
Nfixer_Resprt,6,TRUE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,50,4000,FALSE,0.9,1.2,0.25,5
Grass_Forb,6,TRUE,200,5000,-12,0.95,1,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,20,5000,TRUE,0.9,1.2,0.25,2.75
